user_id,rank,artist_name,playcount,mbid
6,2,RJD2,287,1a120ec5-35b3-4f3e-aa49-7201550d9feb
6,3,The Knife,231,bf710b71-48e5-4e15-9bd6-96debb2e4e98
6,4,Marina & the Diamonds,215,
6,5,Air,213,
6,6,Buck 65,208,8d18b680-368c-4649-a5e3-85e0c2dd6fc2
6,7,Cigarettes After Sex,197,34557d8f-ee4a-44ab-ae6e-49bb8ac604d0
6,8,La Femme,189,559211a5-2a51-4346-ba84-5cc74821a1cd
6,9,Josipa Lisac,184,a3d0e0ad-e449-4e58-a523-e713422aadbe
6,10,Oliver Mandić,184,b1db810e-e47a-4444-8623-fd3323b258df
6,11,Bad Copy,178,b8b63c66-8277-40f3-9424-2a8f07acccb4
6,12,The Doors,160,9efff43b-3b29-4082-824e-bc82f646f93d
6,13,Goran Bregović,159,883ece23-2779-4091-b527-62eb07ee79d4
6,14,Sade,157,67930b3e-e00b-469f-8c74-fd69f20522ec
6,15,Billie Holiday,151,d59c4cda-11d9-48db-8bfe-b557ee602aed
6,16,Bitipatibi,143,cf2287a5-d1ee-4679-af4c-ff5670e9f8db
6,17,Dječaci,142,bccdc59b-02db-4093-bcd3-fa79103af98a
6,18,Tonedeff,138,b3869d83-9fb5-4eac-b5ca-2d155fcbee12
6,19,CunninLynguists,135,69c4cc43-8163-41c5-ac81-30946d27bb69
6,20,Galija,132,
6,21,Mr. Lif,132,5315c1a1-3667-488c-bbe4-f231e336b69a
6,22,Bebel Gilberto,121,8777a849-fb4e-4430-9918-170f619c5286
6,23,Moby,121,8970d868-0723-483b-a75b-51088913d3d4
6,24,Maroon 5,117,0ab49580-c84f-44d4-875f-d83760ea2cfe
6,25,Robin Schulz,117,163218c2-9e0f-4d2d-aecb-ebbdef6aab70
6,26,Amy Winehouse,116,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3
6,27,Edan,115,911e4174-3396-47b6-b0d8-e6a0beee7cdc
6,28,Leonard Cohen,115,65314b12-0e08-43fa-ba33-baaa7b874c15
6,29,A Single Man (Soundtrack),112,
6,30,Ceca,112,95e97643-3195-4d8f-b3e8-baeaeabcb79a
6,31,Placebo,111,
6,32,Lana Del Rey,109,b7539c32-53e7-4908-bda3-81449c367da6
6,33,Nina Simone,109,2944824d-4c26-476f-a981-be849081942f
6,34,Cage,102,
6,35,Depeche Mode,101,8538e728-ca0b-4321-b7e5-cff6565dd4c0
6,36,Aesop Rock,100,aba64937-3334-4c65-90a1-4e6b9d4d7ada
6,37,The Smiths,99,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27
6,38,Atmosphere,98,
6,39,Claude Debussy,97,be50643c-0377-4968-b48c-47e06b2e2a3b
6,40,Panic! at the Disco,95,b9472588-93f3-4922-a1a2-74082cdf9ce8
6,41,Gnarls Barkley,94,a47c3aa2-7d87-475c-a2c7-1e2047dafb09
6,42,Years & Years,93,9f23b7c3-baa6-4e38-b1a9-5c38359ad982
6,43,Nouvelle Vague,90,b017a7ae-e5ee-4675-bb13-c83346134971
6,44,Gorgon City,86,ba8aaa28-2de4-4d5c-824e-1e9d49235c55
6,45,Sandra De Sá,85,04547553-efb6-4be3-8190-37a76a1a4e35
6,46,Bajaga,84,92d8973c-eb9b-459d-8ab1-30f47bfad9e0
6,47,Touch and Go,84,83a554c5-4fd3-4ec8-9dd5-15989850ea17
6,48,Tâches,80,554446df-1cb2-43b8-9db3-29a773fac5b9
